loss_vf_loss,EpLenMean,EpisodesSoFar,EpThisIter,EpExecMean,TimeElapsed,TimestepsSoFar,loss_ent,loss_pol_entpen,loss_kl,loss_pol_surr,ev_tdlam_before,EpRewMean
9.4094715,5.67,3677,43,0.00477242326,18916.43604707718,30717,1.2897874,-0.03869362,0.009835796,-0.013895017,0.9932088362984359,86.25063586235927
6.5478096,5.6,3725,48,0.00471260904,19118.010328292847,30972,1.3403614,-0.040210843,0.021506852,-0.023979979,0.9949691495858133,86.33528701500344
5.6112013,5.26,3773,48,0.00415423288,19319.68073773384,31224,1.3059152,-0.039177455,0.018857794,-0.017176019,0.9961442991625518,87.40336640094618
5.0319443,5.71,3815,42,0.00419505447,19541.268357038498,31483,1.4866557,-0.044599667,0.04478009,-0.02854697,0.9953973293304443,88.94968943689064
5.9523787,5.8,3861,46,0.0044787616,19760.787519216537,31742,1.2872413,-0.03861724,0.017987158,-0.016261697,0.9957880112342536,89.68356898852264
20.689636,6.15,3899,38,0.00489077695,19959.446137666702,31994,1.4846203,-0.044538606,0.040583137,-0.02636643,0.9773332495242357,89.42529008946786
32.87155,8.49,3901,2,0.0048707339,19974.255108118057,32249,2.1561286,-0.064683855,0.072903864,-0.03805756,0.8503293395042419,87.11849756692526
10.891865,8.61,3945,44,0.00487458566,20201.290699005127,32507,1.366993,-0.041009787,0.013604885,-0.022887157,0.9849346056580544,86.64088933811615
4.620426,8.38,3988,43,0.004570375170000001,20411.48176217079,32765,1.2515683,-0.037547052,0.028472684,-0.023201104,0.996470719575882,87.70569508728029
7.708828,6.12,4028,40,0.0043150808,20622.27933382988,33017,1.3618628,-0.04085588,0.01735748,-0.021645535,0.9911156892776489,90.80347243596114
9.743611,5.85,4075,47,0.00443555911,20849.224641561508,33277,1.3418758,-0.04025627,0.013855176,-0.019477984,0.9926383695565164,87.79069621631163
6.530941,5.65,4118,43,0.00436267144,21067.20721936226,33531,1.4685916,-0.044057745,0.009442168,-0.019402498,0.9940871824510396,85.85992463545632
15.098976,5.65,4165,47,0.00447793402,21282.676862239838,33790,1.4317462,-0.04295239,0.026845142,-0.015802016,0.9878602279350162,85.90975422276647
36.068012,5.83,4191,26,0.004954193619999999,21436.755925893784,33955,2.2726367,-0.0681791,0.05771337,-0.056431137,0.9431964308023453,85.90507456040488
41.077484,7.82,4216,25,0.005169123149999999,21571.71579170227,34301,2.3894484,-0.07168345,0.074751034,-0.04201111,0.9601339213550091,83.93761593626895
8.144997,7.96,4256,40,0.00481582466,21773.0085170269,34538,1.5052228,-0.04515668,0.017717676,-0.033127572,0.9888985808938742,81.18294158250448
16.822275,6.55,4292,36,0.00443878997,21963.388025522232,34814,1.5528746,-0.046586234,0.0150021985,-0.038624823,0.9817726034671068,84.41126538405142
11.509764,6.43,4336,44,0.004232731649999999,22175.26719880104,35070,1.4386725,-0.04316017,0.01795138,-0.024254488,0.986673436127603,85.61570221207832
5.9432263,5.82,4380,44,0.004530344990000001,22395.806834936142,35325,1.4103944,-0.04231183,0.008813897,-0.015395779,0.9952747756615281,87.45292784417727
23.114946,5.85,4421,41,0.005166537609999999,22597.581067085266,35566,1.3777907,-0.04133372,0.009546979,-0.018521525,0.9829823989421129,89.51219226383799
4.683741,6.23,4461,40,0.005066290880000001,22829.542276144028,35832,1.3987772,-0.04196332,0.008504915,-0.016539441,0.9961450803093612,89.09412357244011
6.3474092,6.22,4505,44,0.004520821359999999,23052.65827202797,36093,1.409184,-0.04227552,0.009233138,-0.015984468,0.9921756563708186,87.51914413634053
5.5010395,5.97,4549,44,0.004713723729999999,23267.24373650551,36352,1.3295331,-0.03988599,0.013487749,-0.02130494,0.9963092342950404,85.12958255221024
11.528724,5.69,4595,46,0.004722892500000001,23487.8686876297,36607,1.3301228,-0.039903685,0.00949662,-0.012983795,0.989836004562676,87.31936586358268
