EpThisIter,loss_pol_surr,TimeElapsed,EpisodesSoFar,loss_ent,EpRewMean,TimestepsSoFar,loss_kl,ev_tdlam_before,loss_vf_loss,loss_pol_entpen,EpLenMean,EpExecMean
57,-0.0037802681,13952.158224105835,4452,1.0394801,87.20636013017155,30717,0.005143035,0.9897485123947263,11.71595,-0.031184401,4.54,0.00421177304
54,-0.008253178,14133.648048400879,4506,1.3039062,87.50766662683469,30975,0.017035436,0.9939237148500979,7.314727,-0.039117187,4.62,0.00404508501
29,-0.045950204,14230.44178056717,4535,1.1194441,85.9645129631644,31231,0.27332234,0.9185512065887451,39.710316,-0.033583324,5.89,0.0038745143999999996
47,-0.015415756,14378.16611790657,4582,1.3311847,85.53939989821565,31483,0.06622271,0.9829356726258993,20.137667,-0.039935544,6.2,0.0038647302699999996
51,-0.011502519,14543.022628545761,4633,1.3591932,87.5034186707036,31741,0.006763347,0.9871636480093002,13.885798,-0.040775795,5.22,0.0041234943300000005
48,-0.014932945,14688.714527130127,4681,1.1704617,87.22995817176852,31998,0.007067271,0.9777746871113777,25.016308,-0.03511385,5.21,0.00422114574
55,-0.01609192,14867.410827875137,4736,1.401881,87.872475483212,32256,0.015409815,0.9915678929537535,9.244212,-0.042056426,5.01,0.00412974855
53,-0.010331305,15043.597773551941,4789,1.3551917,87.89028239099339,32508,0.011954594,0.9888099581003189,11.693892,-0.04065575,4.73,0.0040449382
25,-0.05914455,15122.145025014877,4814,1.0922855,88.1329989648811,32639,0.26273337,0.9262356534600258,50.66614,-0.032768566,4.85,0.003983128
52,-0.016114857,15292.466207504272,4866,1.2643714,86.19315562904066,33024,0.0107105,0.9858295703306794,18.721054,-0.03793114,6.14,0.00392185487
45,-0.015233288,15460.152822971344,4911,1.5857568,85.9404652047721,33274,0.037253182,0.987023213878274,13.257952,-0.047572702,6.48,0.0039966793
51,-0.007176211,15628.62245798111,4962,1.4004583,86.45147183706547,33534,0.005230618,0.9731849487870932,22.21952,-0.042013742,5.27,0.0041527892
50,-0.011649382,15799.511808156967,5012,1.4037062,84.12227300714576,33791,0.008242305,0.9809818919748068,18.491814,-0.04211118,5.1,0.00398396962
46,-0.01206328,15970.221240758896,5058,1.5403216,85.1117099863025,34044,0.0037041162,0.989306709729135,8.304661,-0.04620965,5.29,0.0041023638400000005
53,-0.008473689,16145.003517389297,5111,1.4170799,88.3553632664305,34299,0.00596629,0.9863870600238442,14.707109,-0.0425124,5.13,0.00419935309
41,-0.01788491,16302.877631187439,5152,1.6286836,87.31650408112105,34560,0.01891165,0.9848200175911188,10.994373,-0.048860505,5.43,0.00437118148
45,-0.011436236,16471.7419257164,5197,1.5039153,87.63796118810232,34812,0.010242457,0.9928263654001057,7.519972,-0.04511746,5.76,0.004144168680000001
43,-0.010140978,16632.138471603394,5240,1.5240977,86.88430675593469,35071,0.0067561604,0.9825908560305834,13.20648,-0.04572293,5.93,0.00401420735
50,-0.00892115,16807.11800813675,5290,1.4598138,84.72816840931294,35325,0.0077788467,0.9884563935920596,12.769493,-0.043794416,5.55,0.00402761978
47,-0.015913561,16970.304433345795,5337,1.4098485,85.69923598847417,35583,0.01597856,0.994883400388062,5.789985,-0.042295456,5.31,0.004098225830000001
49,-0.015463378,17135.80421590805,5386,1.3869567,87.42211278278664,35835,0.0082394285,0.9910625275224447,8.700921,-0.0416087,5.27,0.004052833049999999
50,-0.011141319,17313.471563577652,5436,1.3869075,88.11006069399855,36096,0.0071801683,0.9915973301976919,8.723548,-0.041607223,5.17,0.0041790097
51,-0.005968366,17491.108713150024,5487,1.4041595,88.27979431317317,36348,0.0039857873,0.9872051374986768,13.932161,-0.04212479,5.07,0.0043692337
49,-0.007812966,17661.07050180435,5536,1.3840892,88.832058929493,36604,0.0051750606,0.996022330597043,4.5858846,-0.041522674,5.08,0.00415005153
47,-0.012942966,17822.79173016548,5583,1.3800555,88.79691346114882,36863,0.007161734,0.9940655836835504,6.269423,-0.041401662,5.33,0.0038957125900000006
47,-0.012863121,17980.882695436478,5630,1.4156928,88.38951497377938,37115,0.011020912,0.9885435746982694,12.19007,-0.042470787,5.42,0.00407712669
46,-0.011686526,18148.963086605072,5676,1.4687716,86.51918727769095,37376,0.022171788,0.9898256454616785,10.760477,-0.044063147,5.53,0.00407943147
47,-0.011310235,18312.514931440353,5723,1.351448,85.04397710198685,37626,0.009800147,0.9850787250325084,15.503657,-0.040543444,5.48,0.00405231695
55,-0.0052678464,18481.98030233383,5778,1.2698894,84.32531888268106,37885,0.0063709193,0.988603669218719,13.835284,-0.038096678,4.98,0.0042341592
50,-0.008180009,18657.486661195755,5828,1.3948777,85.0449657501579,38141,0.0049735624,0.9930804083123803,7.500539,-0.04184633,4.93,0.0042664622099999995
50,-0.01028968,18823.69357419014,5878,1.336275,83.97978509757125,38394,0.009026711,0.9896002048626542,11.149254,-0.040088248,5.09,0.004204299329999999
50,-0.0047913883,19000.52769756317,5928,1.4028964,84.56556876154879,38656,0.005763704,0.9889461128041148,12.30248,-0.04208689,5.15,0.004093800649999999
49,-0.011487983,19170.50050854683,5977,1.3838671,84.78047681816162,38909,0.011562321,0.9935113890096545,6.760668,-0.041516013,5.21,0.003968631020000001
51,-0.0067963703,19354.83752822876,6028,1.2940938,84.90086265451897,39165,0.0048198793,0.9957084991037846,5.0227485,-0.03882281,5.09,0.00392105167
49,-0.005797744,19530.95506286621,6077,1.5157275,85.68497836322169,39422,0.0061627976,0.9887344473972917,12.224746,-0.045471825,5.13,0.003973111400000001
48,-0.009428201,19702.175864219666,6125,1.4573914,86.08762016040068,39675,0.0066781114,0.9943947275169194,6.287749,-0.043721735,5.23,0.0039196898
46,-0.012101092,19874.715960741043,6171,1.4614621,87.10822592009109,39922,0.011885587,0.9937753924168646,7.2026615,-0.043843865,5.29,0.0041359638
53,-0.0014668554,20048.261689424515,6224,1.3393129,87.17470178679169,40191,0.0071304506,0.9895722912624478,11.179596,-0.040179387,5.22,0.0042559826
46,-0.013738256,20206.961475610733,6270,1.1835502,86.22840236528299,40423,0.013907444,0.9715064633637667,22.554537,-0.035506506,5.07,0.004149334920000001
53,-0.005521763,20374.776921272278,6323,1.3298404,85.23296968676432,40704,0.007013425,0.9885067874565721,14.525841,-0.039895214,5.17,0.004104097310000001
50,-0.012975467,20554.118131637573,6373,1.372005,86.75166748029542,40957,0.014035833,0.9896506257355213,9.175627,-0.04116015,4.96,0.0040424330500000005
41,-0.013796161,20722.64269566536,6414,1.4468452,86.75363663081227,41212,0.017960956,0.97945786267519,20.749964,-0.043405354,5.58,0.00398295336
45,-0.012531716,20897.893061876297,6459,1.6357247,86.51013341699363,41468,0.005697823,0.9917352460324764,7.810322,-0.049071737,5.83,0.004180806080000001
46,-0.006368352,21078.43896961212,6505,1.4084271,87.36306961341788,41724,0.002960851,0.9916601171717048,9.244747,-0.042252813,5.66,0.00426072413
46,-0.009330137,21254.0415828228,6551,1.499042,87.9865663660145,41984,0.0050079217,0.9900894798338413,8.9651575,-0.04497126,5.54,0.0040652118
45,-0.010219689,21429.92969894409,6596,1.4494102,88.46796258943466,42239,0.004108377,0.9912640880793333,9.601969,-0.043482307,5.69,0.0042461628799999995
49,-0.0041767173,21610.874902009964,6645,1.3592114,85.6571527563452,42494,0.0033414122,0.9873860189691186,12.921946,-0.040776346,5.34,0.00430729214
48,-0.010227777,21796.08806824684,6693,1.3132036,84.1558431344034,42752,0.0024869286,0.9922277885489166,7.667046,-0.039396107,5.3,0.004174410009999999
47,-0.007660471,21975.612320899963,6740,1.3402057,84.30658850227228,43007,0.004728689,0.9926954652182758,7.722665,-0.04020617,5.44,0.00419065856
51,-0.0063191094,22142.66731238365,6791,1.2099637,86.38417145941037,43262,0.0043060873,0.9928607847541571,8.051101,-0.03629891,5.22,0.00418407537
49,-0.007100381,22323.02257323265,6840,1.2655059,87.04843150820233,43517,0.0052186064,0.9939181818626821,6.9630895,-0.037965175,5.1,0.0042903221499999995
51,-0.006101504,22499.25545811653,6891,1.2962899,87.72860461923909,43775,0.0037709808,0.9929463895969093,8.120729,-0.0388887,5.13,0.00425448871
50,-0.006214641,22678.00166606903,6941,1.2182556,87.78676694573973,44029,0.0041559236,0.9927440010942519,8.60936,-0.03654767,5.08,0.004113560830000001
48,-0.0058168173,22840.921739816666,6989,1.2224514,87.31570193926436,44286,0.0025293354,0.9890608051791787,10.851793,-0.036673542,5.23,0.003968283309999999
52,-0.0074353702,23018.203766822815,7041,1.2293911,88.35008368257255,44543,0.008173402,0.9944986901246011,7.016239,-0.03688173,5.14,0.0040159003999999995
48,-0.005988907,23192.70072364807,7089,1.225486,88.63983840435249,44799,0.0015429698,0.9956792527809739,4.9450073,-0.03676458,5.13,0.0040647976199999995
