EpisodesSoFar,EpRewMean,EpLenMean,EpThisIter,loss_ent,TimeElapsed,loss_pol_entpen,loss_kl,loss_pol_surr,EpExecMean,ev_tdlam_before,TimestepsSoFar,loss_vf_loss
7173,75.55612188105107,3.84,63,2.5718153,61947.1617474556,-0.07715446,0.003571978,-0.0077176113,0.014859673820000004,0.8334124237298965,38143,248.60048
7234,78.61015473619582,4.1,61,2.4974256,62489.65622878075,-0.07492277,0.0040873447,-0.008908322,0.013386314659999999,0.8851162418723106,38400,179.9715
7291,82.13859240828036,4.39,57,2.6590261,63035.22906899452,-0.07977077,0.0039964896,-0.010038259,0.015439446549999998,0.8350676596164703,38655,213.5386
7339,81.12124749523076,4.93,48,2.4464264,63511.26086688042,-0.073392786,0.0029444338,-0.0075321645,0.01398455338,0.9354175701737404,38907,88.23372
7394,81.38112542610651,4.8,55,2.8512204,64025.81866979599,-0.08553661,0.003838772,-0.009781629,0.013389582540000002,0.8245104253292084,39149,237.06216
7449,83.23549689624161,4.67,55,2.715686,64525.74526333809,-0.08147059,0.003098275,-0.009528507,0.013345878699999997,0.9190569370985031,39423,39.381
7508,82.04873955929435,4.4,59,2.7444396,65010.734459877014,-0.08233319,0.0025274302,-0.009465992,0.008622124340000002,0.973970940336585,39678,23.413269
7514,79.08887905072686,4.32,6,3.9627059,65272.84178876877,-0.11888117,0.013958471,-0.022939954,0.008705607729999999,0.7386724352836609,39698,36.679245
7522,78.03372255659245,6.79,8,1.0298159,65399.208518743515,-0.030894477,0.010558596,-0.018864663,0.008419901689999999,0.5978022515773773,39983,50.489754
7535,75.2657808672505,9.55,13,0.9781221,65515.381516456604,-0.029343665,0.005772546,-0.011487272,0.016650462320000003,0.7647481262683868,40327,23.073921
7584,74.3590902672834,11.38,49,2.1152215,65944.77043128014,-0.06345665,0.0015805417,-0.0053661373,0.01959978782,0.9294264540076256,40698,86.98416
7657,77.74470272989518,3.72,73,2.416165,66563.99297571182,-0.072484955,0.0013642105,-0.008317277,0.00866642402,0.959170576184988,40958,67.720505
7672,78.06348094904915,3.58,15,1.0562243,66707.9125983715,-0.031686727,0.0012688683,-0.010136291,0.006840988690000001,0.8139870911836624,41023,147.07669
7672,78.06348094904915,3.58,0,0.6036692,66716.47989654541,-0.018110076,0.00010752043,0.00049439445,0.006840988690000001,-0.015111565589904785,41023,169.48259
7682,70.28177038317514,10.32,10,0.9395372,66817.49614787102,-0.028186113,0.00066149014,-0.006483469,0.00913661791,0.7183913886547089,41725,201.19287
7766,71.51973022835278,9.87,84,2.0599294,67418.49353027344,-0.061797883,0.0044320207,-0.010740776,0.01549575268,0.7616027891635895,41984,540.7168
7836,81.82879836036452,3.49,70,1.9032267,67944.33639216423,-0.0570968,0.0014920039,-0.009232346,0.009095218740000001,0.8536862432956696,42237,184.32558
7909,86.42036925147326,3.42,73,1.9725285,68571.67538070679,-0.05917585,0.0019506423,-0.004786821,0.012532967310000002,0.8119197487831116,42496,389.6272
7987,79.95610549051838,3.26,78,2.3197176,69215.64687490463,-0.06959153,0.0011916445,-0.002295698,0.01484706823,0.933756411075592,42752,124.22484
